,name,code
1350,GKL,114090
1355,GC Cell,144510
1360,SBS,034120
1365,다우기술,023590
1370,한올바이오파마,009420
1375,제이콘텐트리,036420
1380,원익QnC,074600
1385,대상,001680
1390,엘앤씨바이오,290650
1395,오리온,001800
1400,대한해운,005880
1405,영진약품,003520
1410,티에스이,131290
1415,태광산업,003240
1420,풍산,103140
1425,비에이치,090460
1430,헬릭스미스,084990
1435,미원상사,002840
1440,보령제약,003850
1445,하나마이크론,067310
1450,진원생명과학,011000
1455,동원산업,006040
1460,엠씨넥스,097520
1465,현대그린푸드,005440
1470,오스코텍,039200
1475,삼강엠앤티,100090
1480,부광약품,003000
1485,메디톡스,086900
1490,한섬,020000
1495,우리종금,010050
1500,MCNEX Co,097520
1505,SK디스커버리,006120
1510,현대사료,016790
1515,파크시스템스,140860
1520,코리아써키트,007810
1525,서울반도체,046890
1530,경동나비엔,009450
1535,나노신소재,121600
1540,아난티,025980
1545,유안타증권,003470
1550,파미셀,005690
1555,SGC에너지,005090
1560,삼양식품,003230
1565,서울가스,017390
1570,DSNL,141020
1575,남해화학,025860
1580,흥아해운,003280
1585,SPC삼립,005610
1590,비덴트,121800
1595,SK디앤디,210980
1600,인탑스,049070
1605,드림텍,192650
1610,네패스,033640
1615,동아쏘시오홀딩스,000640
1620,한국단자,025540
1625,삼양사우,145995
1630,현대홈쇼핑,057050
1635,넥센타이어,002350
1640,서진시스템,178320
1645,JW중외제약,001060
1650,일양약품우,007575
1655,테스나,131970
1660,HJ중공업,097230
1665,디티알오토모티브,007340
1670,삼양홀딩스,000070
1675,코웰패션,033290
1680,동원F&B,049770
1685,웹젠,069080
1690,상아프론테크,089980
1695,세아베스틸,001430
1700,SNT모티브,064960
1705,송원산업,004430
1710,JW Pharmaceutical,001067
1715,파트론,091700
1720,휴림로봇,090710
1725,롯데손해보험,000400
1730,NICE,034310
1735,고려제강,002240
1740,Kolon Global,003075
1745,유바이오로직스,206650
1750,세아제강,003030
1755,한국카본,017960
1760,이엠텍,091120
1765,우리기술투자,041190
1770,ISC,095340
1775,덴티움,145720
1780,에코마케팅,230360
1785,율촌화학,008730
1790,루트로닉,085370
1795,풀무원홀딩스,017810
1800,코미코,183300
1805,아미코젠,092040
1810,영원무역홀딩스,009970
1815,파인테크닉스,106240
1820,쿠쿠홀딩스,192400
1825,인트론바이오,048530
1830,Sangsangin,038540
1835,엑세스바이오,950130
1840,바텍,043150
1845,한화손해보험,000370
1850,현대시멘트,006390
1855,에스앤에스텍,101490
1860,솔브레인홀딩스,036830
1865,삼표시멘트,038500
1870,젬백스,082270
1875,아세아시멘트,183190
1880,LF,093050
1885,초록뱀미디어,047820
1890,BGF,027410
1895,툴젠,199800
1900,코오롱글로벌,003070
1905,롯데하이마트,071840
1910,넵튠,217270
1915,LX하우시스,108670
1920,KG케미칼,001390
1925,다우데이타,032190
1930,코오롱티슈진,950160
1935,자화전자,033240
1940,유니테스트,086390
1945,코미팜,041960
1950,TYM,002900
1955,셀리버리,268600
1960,메지온,140410
1965,SK렌터카,068400
1970,미래에셋생명,085620
1975,락앤락,115390
1980,이엔에프테크놀로지,102710
1985,신성통상,005390
1990,삼부토건,001470
1995,심팩,009160
2000,사람인에이치알,143240
2005,한글과컴퓨터,030520
2010,애경산업,018250
2015,일동홀딩스,000230
2020,태영건설우,009415
2025,LG헬로비전,037560
2030,한국토지신탁,034830
2035,디오,039840
2040,테스,095610
2045,이연제약,102460
2050,원익머트리얼즈,104830
2055,교보증권,030610
2060,HSD엔진,082740
2065,SK증권우,001515
2070,이수페타시스,007660
2075,한국자산신탁,123890
2080,동양우,001525
2085,동양2우B,001527
2090,신흥에스이씨,243840
2095,남양유업우,003925
2100,국도화학,007690
2105,빙그레,005180
2110,남선알미우,008355
2115,CJ프레시웨이,051500
2120,에이스테크,088800
2125,위메이드맥스,101730
2130,대교우B,019685
2135,KG ETS,151860
2140,조이시티,067000
2145,루트로닉3우C,08537M
2150,YG PLUS,037270
2155,동원개발,013120
2160,코스모화학,005420
2165,한라,014790
2170,아주IB투자,027360
2175,KEC,092220
2180,금호산업우,002995
2185,크리스에프앤씨,110790
2190,티케이케미칼,104480
2195,월덱스,101160
2200,SM C&C,048550
2205,세아홀딩스,058650
2210,KG이니시스,035600
2215,에어부산,298690
2220,쎄트렉아이,099320
2225,에이피티씨,089970
2230,유나이티드제약,033270
2235,티앤알바이오팹,246710
2240,이수화학,005950
2245,일양약품,007570
2250,네오위즈,095660
2255,한신기계,011700
2260,원익피앤이,131390
2265,팜스토리,027710
2270,스카이라이프,053210
2275,에스에이엠티,031330
2280,대한제강,084010
2285,아이센스,099190
2290,서흥캅셀,008490
2295,NPC,004250
2300,이리츠코크렙,088260
2305,아주스틸,139990
2310,지역난방공사,071320
2315,한라홀딩스,060980
2320,코엔텍,029960
2325,에프에스티,036810
2330,오킨스전자,080580
2335,쌍용차,003620
2340,한일홀딩스,003300
2345,대상홀딩스우,084695
2350,테이팩스,055490
2355,코오롱우,002025
2360,STX엔진,077970
2365,테크윙,089030
2370,인터로조,119610
2375,대성에너지,117580
2380,잇츠한불,226320
2385,삼천리,004690
2390,HDC,012630
2395,노바텍,285490
2400,한국콜마홀딩스,024720
2405,신성이엔지,011930
2410,서희건설,035890
2415,코오롱생명과학,102940
2420,세진중공업,075580
2425,쏠리드,050890
2430,카페24,042000
2435,경방,000050
2440,골프존뉴딘홀딩스,121440
2445,디앤씨미디어,263720
2450,국일제지,078130
2455,와이투솔루션,011690
2460,덕성우,004835
2465,Hysonic,106080
2470,스틱인베스트먼트,026890
2475,코나아이,052400
2480,일진다이아,081000
2485,인터플렉스,051370
2490,한국철강,104700
2495,금호산업,002990
2500,동일산업,004890
2505,성우하이텍,015750
2510,태영건설,009410
2515,진흥기업,002780
2520,이베스트투자증권,078020
2525,KMH,122450
2530,대보마그네틱,290670
2535,하림,136480
2540,코오롱,002020
2545,대상홀딩스,084690
2550,모두투어,080160
2555,켐트로닉스,089010
2560,이월드,084680
2565,덕산하이메탈,077360
2570,원익홀딩스,030530
2575,GS 글로벌,001250
2580,대원제약,003220
2585,진흥기업2우B,002787
2590,진흥기업우B,002785
2595,한국기업평가,034950
2600,뷰웍스,100120
2605,HiteJinro Holdings Co,000145
2610,Creverse,096240
2615,인바디,041830
2620,유진기업,023410
2625,하나제약,293480
2630,삼양패키징,272550
2635,메디포스트,078160
2640,우리기술,032820
2645,싸이토젠,217330
2650,DYPNF,104460
2655,파세코,037070
2660,제이앤티씨,204270
2665,삼목에스폼,018310
2670,티웨이항공,091810
2675,대동,000490
2680,유비케어,032620
2685,쇼박스,086980
2690,클리오,237880
2695,키다리스튜디오,020120
2700,엘브이엠씨,900140
2705,동성화인텍,033500
2710,웅진씽크빅,095720
2715,현대비앤지스틸우,004565
2720,일진파워,094820
2725,도이치모터스,067990
2730,아이마켓코리아,122900
2735,퍼시스,016800
2740,농심홀딩스,072710
2745,신대양제지,016590
2750,갤럭시아머니트리,094480
2755,동화약품,000020
2760,한솔제지,213500
2765,에디슨EV,136510
2770,크리스탈지노믹스,083790
2775,동부건설우,005965
2780,해성산업,034810
2785,웹케시,053580
2790,휴온스,084110
2795,서울바이오시스,092190
2800,한국쉘석유,002960
2805,KH 필룩스,033180
2810,남선알미늄,008350
2815,롯데푸드,002270
2820,부국증권우,001275
2825,Diac Co,078590
2830,시너지이노베이션,048870
2835,에이프로젠 MED,007460
2840,미원에스씨,107590
2845,에이프로젠제약,003060
2850,엠아이텍,179290
2855,무림P&P,009580
2860,계룡건설,013580
2865,유니셈,036200
2870,백산,035150
2875,동국S&C,100130
2880,조일알미늄,018470
2885,이지홀딩스,035810
2890,성신양회,004980
2895,KG모빌리언스,046440
2900,BYC,001460
2905,오이솔루션,138080
2910,신도리코,029530
2915,화승인더,006060
2920,대교,019680
2925,지니뮤직,043610
2930,삼진제약,005500
2935,엠케이전자,033160
2940,대한제당우,001795
2945,세종텔레콤,036630
2950,와이솔,122990
2955,동양,001520
2960,와이엠티,251370
2965,경인양행,012610
2970,유니퀘스트,077500
2975,노바렉스,194700
2980,노터스,278650
2985,태림포장,011280
2990,케이티알파,036030
2995,아나패스,123860
3000,하이트진로홀딩스,000140
3005,유진투자증권,001200
3010,남양유업,003920
3015,레이,228670
3020,HLB Global,003580
3025,대한제분,001130
3030,포스코강판,058430
3035,WeMade Play,123420
3040,새로닉스,042600
3045,인스코비,006490
3050,이원다이애그노믹스,245620
3055,E1,017940
3060,성신양회우,004985
3065,대아티아이,045390
3070,톱텍,108230
3075,AJ네트웍스,095570
3080,이디,101360
3085,한국정보통신,025770
3090,금호에이치티,214330
3095,포스코엠텍,009520
3100,유비쿼스홀딩스,078070
3105,아이에이,038880
3110,광주신세계,037710
3115,엔지켐생명과학,183490
3120,동부건설,005960
3125,광동제약,009290
3130,풍산홀딩스,005810
3135,에스티아이,039440
3140,JW홀딩스,096760
3145,삼익THK,004380
3150,올릭스,226950
3155,나스미디어,089600
3160,BYC Co,001465
3165,제이씨케미칼,137950
3170,Sebang Co,004365
3175,삼성출판사,068290
3180,넥센우,005725
3185,연우,115960
3190,LS네트웍스,000680
3195,현대리바트,079430
3200,아이원스,114810
3205,와이지-원,019210
3210,흥국화재우,000545
3215,흥국화재2우B,000547
3220,피에스케이,031980
3225,모다이노칩,080420
3230,일신방직,003200
3235,태광,023160
3240,제이에스코퍼레이션,194370
3245,한양이엔지,045100
3250,삼아알미늄,006110
3255,SBI인베스트먼트,019550
3260,화신,010690
3265,성광벤드,014620
3270,제우스,079370
3275,경동제약,011040
3280,AK 홀딩스,006840
3285,한국캐피탈,023760
3290,나이스정보통신,036800
3295,신세계푸드,031440
3300,모트렉스,118990
3305,케이아이엔엑스,093320
3310,현대비앤지스틸,004560
3315,신세계I&C,035510
3320,멀티캠퍼스,067280
3325,인크로스,216050
3330,다올투자증권,030210
3335,환인제약,016580
3340,유니슨,018000
3345,하이비젼시스템,126700
3350,알서포트,131370
3355,동아지질,028100
3360,비보존 헬스케어,082800
3365,GST,083450
3370,금강공업,014280
3375,피씨엘,241820
3380,조선내화,000480
3385,디씨엠,024090
3390,한세예스24홀딩스,016450
3395,아이디스,143160
3400,일성건설,013360
3405,다산네트웍스,039560
3410,케이씨,029460
3415,사조산업,007160
3420,마크로젠,038290
3425,네오위즈홀딩스,042420
3430,DB금융투자,016610
3435,일진홀딩스,015860
3440,우진,105840
3445,피엔에이치테크,239890
3450,KSS해운,044450
3455,삼성제약,001360
3460,이노와이어리스,073490
3465,이수앱지스,086890
3470,휴비스,079980
3475,현대바이오랜드,052260
3480,다나와,119860
3485,디엔에프,092070
3490,진성티이씨,036890
3495,라온테크,232680
3500,한양디지텍,078350
3505,세경하이테크,148150
3510,유티아이,179900
3515,비즈니스온,138580
3520,한농화성,011500
3525,파워로직스,047310
3530,백광산업,001340
3535,KPX케미칼,025000
3540,지어소프트,051160
3545,HLB Therapeutics,115450
3550,금강공업우,014285
3555,SNT홀딩스,036530
3560,에이스토리,241840
3565,삼영무역,002810
3570,대영포장,014160
3575,위닉스,044340
3580,KPX홀딩스,092230
3585,흥국화재,000540
3590,사조동아원,008040
3595,노루페인트우,090355
3600,깨끗한나라우,004545
3605,대덕,008060
3610,용평리조트,070960
3615,현대이지웰,090850
3620,LS전선아시아,229640
3625,세방,004360
3630,Flask,041590
3635,아이에스이커머스,069920
3640,퓨쳐켐,220100
3645,넥센,005720
3650,엠투엔,033310
3655,한국알콜,017890
3660,동성코퍼레이션,102260
3665,하이록코리아,013030
3670,동신건설,025950
3675,광림,014200
3680,그린케미칼,083420
3685,로보티즈,108490
3690,지노믹트리,228760
3695,이엔플러스,074610
3700,팜스코,036580
3705,HDC랩스,039570
3710,EveryBot,270660
3715,로보스타,090360
3720,삼영전자,005680
3725,무학,033920
3730,엘오티베큠,083310
3735,티에스아이,277880
3740,삼화페인트,000390
3745,태웅,044490
3750,리드코프,012700
3755,노루페인트,090350
3760,아이큐어,175250
3765,랩지노믹스,084650
3770,해태제과식품,101530
3775,엠에스오토텍,123040
3780,National Plastic Prf,004255
3785,사조대림,003960
3790,이크레더블,092130
3795,디아이,003160
3800,와이엔텍,067900
3805,JW생명과학,234080
3810,현대상사,011760
3815,VT GMP,018290
3820,쌍방울,102280
3825,어보브반도체,102120
3830,인트로메딕,150840
3835,HuM C,263920
3840,아바텍,149950
3845,일진전기,103590
3850,영풍제지,006740
3855,앱클론,174900
3860,풍국주정,023900
3865,한양증권우,001755
3870,디지털대성,068930
3875,셀루메드,049180
3880,동남합성,023450
3885,디케이티,290550
3890,퍼스텍,010820
3895,시그네틱스,033170
3900,엠플러스,259630
3905,뉴파워프라즈마,144960
3910,한국주철관,000970
3915,디와이,013570
3920,삼보판지,023600
3925,윈스,136540
3930,한국석유,004090
3935,대원강업,000430
3940,벽산,007210
3945,상신이디피,091580
3950,부국증권,001270
3955,Yuhwa Securities Co,003465
3960,비나텍,126340
3965,유니테크노,241690
3970,미래나노텍,095500
3975,이원컴포텍,088290
3980,특수건설,026150
3985,한솔테크닉스,004710
3990,태경산업,015890
3995,시노펙스,025320
4000,에이티넘인베스트,021080
4005,수산중공업,017550
4010,심텍홀딩스,036710
4015,올리패스,244460
4020,효성ITX,094280
4025,아모그린텍,125210
4030,SNT중공업,003570
4035,Emro,058970
4040,제주은행,006220
4045,나이벡,138610
4050,아시아나IDT,267850
4055,경보제약,214390
4060,동구바이오제약,006620
4065,플리토,300080
4070,이녹스,088390
4075,휴맥스,115160
4080,KCC건설,021320
4085,에이치엘사이언스,239610
4090,신라교역,004970
4095,진양홀딩스,100250
4100,휴스틸,005010
4105,노루홀딩스우,000325
4110,네오팜,092730
4115,아미노로직스,074430
4120,오르비텍,046120
4125,한신공영,004960
4130,디아이씨,092200
4135,모토닉,009680
4140,에스티큐브,052020
4145,세종공업,033530
4150,에스퓨얼셀,288620
4155,코프라,126600
4160,JW신약,067290
4165,대원미디어,048910
4170,성창기업지주,000180
4175,노랑풍선,104620
4180,BL Corp,142760
4185,필옵틱스,161580
4190,칩스앤미디어,094360
4195,DB,012030
4200,펩트론,087010
4205,기가레인,049080
4210,종근당바이오,063160
4215,가온미디어,078890
4220,대원전선우,006345
4225,한컴MDS,086960
4230,씨티케이코스메틱스,260930
4235,앤디포스,238090
4240,진로발효,018120
4245,태경케미컬,006890
4250,에스맥,097780
4255,우리바이오,082850
4260,키네마스터,139670
4265,가비아,079940
4270,금화피에스시,036190
4275,코아시아,045970
4280,참좋은여행,094850
4285,PHA,043370
4290,삼지전자,037460
4295,레드캡투어,038390
4300,카프로,006380
4305,버킷스튜디오,066410
4310,서연이화,200880
4315,KCTC,009070
4320,아남전자,008700
4325,HB테크놀러지,078150
4330,푸드나무,290720
4335,코세스,089890
4340,에이블씨엔씨,078520
4345,디에스케이,109740
4350,서연,007860
4355,신원우,009275
4360,Namhwa Industrial,111710
4365,엘앤케이바이오,156100
4370,미래컴퍼니,049950
4375,영화테크,265560
4380,아스트,067390
4385,제주반도체,080220
4390,크라운해태우,005745
4395,한국특강,007280
4400,블루콤,033560
4405,그린플러스,186230
4410,태웅로직스,124560
4415,디와이파워,210540
4420,조광피혁,004700
4425,깨끗한나라,004540
4430,대한방직,001070
4435,동아화성,041930
4440,아이씨디,040910
4445,CJ Seafood,011155
4450,Keyang Electric Machinery Co,012205
4455,대한그린파워,060900
4460,부방,014470
4465,삼화네트웍스,046390
4470,미투온,201490
4475,서한,011370
4480,우리손에프앤지,073560
4485,삼화전기,009470
4490,대한광통신,010170
4495,서플러스글로벌,140070
4500,셀바스AI,108860
4505,FSN,214270
4510,와이제이엠게임즈,193250
4515,대한약품,023910
4520,Tera Science,073640
4525,뉴트리,270870
4530,인피니트헬스케어,071200
4535,세운메디칼,100700
4540,아이텍반도체,119830
4545,디바이스이엔지,187870
4550,나노엔텍,039860
4555,야스,255440
4560,Abion,203400
4565,한국화장품,123690
4570,팅크웨어,084730
4575,피씨디렉트,051380
4580,수젠텍,253840
4585,아비코전자,036010
4590,브레인콘텐츠,066980
4595,IHQ,003560
4600,강남제비스코,000860
4605,에이비온,203400
4610,인지컨트롤스,023800
4615,동양철관,008970
4620,국순당,043650
4625,대원전선,006340
4630,자연과환경,043910
4635,옵트론텍,082210
4640,선익시스템,171090
4645,에이치엔티,176440
4650,테라젠이텍스,066700
4655,황금에스티,032560
4660,서울식품우,004415
4665,오리엔탈정공,014940
4670,대호에이엘,069460
4675,디아이티,110990
4680,극동유화,014530
4685,유니크,011320
4690,신원,009270
4695,동방,004140
4700,제이엔케이히터,126880
4705,고려포리머,009810
4710,예스코,015360
4715,케어랩스,263700
4720,신흥,004080
4725,쎌마테라퓨틱스,015540
4730,NI스틸,008260
4735,대창,012800
4740,에스와이,109610
4745,세종메디칼,258830
4750,에버다임,041440
4755,영풍정밀,036560
4760,Hyupjin,138360
4765,트루윈,105550
4770,이엠코리아,095190
4775,코스메카코리아,241710
4780,웅진,016880
4785,오성첨단소재,052420
4790,알에스오토메이션,140670
4795,YTN,040300
4800,비에이치아이,083650
4805,잉글우드랩,950140
4810,코텍,052330
4815,크라운해태홀딩스,005740
4820,세원이앤씨,091090
4825,DMS,068790
4830,대정화금,120240
4835,대유,290380
4840,CBI,013720
4845,인화정공,101930
4850,SBS콘텐츠허브,046140
4855,삼기,122350
4860,NHN벅스,104200
4865,DSC인베스트먼트,241520
4870,유수홀딩스,000700
4875,한솔홀딩스,004150
4880,한국전자인증,041460
4885,예스티,122640
4890,코렌텍,104540
4895,한국공항,005430
4900,대양금속,009190
4905,케이피에스,256940
4910,컴퍼니케이,307930
4915,푸른저축은행,007330
4920,한국경제TV,039340
4925,제노레이,122310
4930,STX중공업,071970
4935,일신바이오,068330
4940,토니모리,214420
4945,에너토크,019990
4950,대유플러스,000300
4955,나이스디앤비,130580
4960,옵티팜,153710
4965,휴니드,005870
4970,비트컴퓨터,032850
4975,동일금속,109860
4980,CJ씨푸드,011150
4985,큐로컴,040350
4990,이구산업,025820
4995,양지사,030960
5000,뉴프렉스,085670
5005,오션브릿지,241790
5010,시공테크,020710
5015,SG세계물산,004060
5020,일신석재,007110
5025,아바코,083930
5030,한국내화,010040
5035,대한화섬,003830
5040,메가스터디,072870
5045,대창단조,015230
5050,위니아딤채,071460
5055,한솔홈데코,025750
5060,피제이메탈,128660
5065,대화제약,067080
5070,녹십자엠에스,142280
5075,방림,003610
5080,샘표,007540
5085,티플랙스,081150
5090,무림페이퍼,009200
5095,인포뱅크,039290
5100,아가방컴퍼니,013990
5105,세아특수강,019440
5110,초록뱀컴퍼니,052300
5115,대양전기공업,108380
5120,이트론,096040
5125,엔브이에이치코리아,067570
5130,대원,007680
5135,현대약품,004310
5140,잉크테크,049550
5145,모나리자,012690
5150,삼양옵틱스,225190
5155,상지카일룸,042940
5160,HDC현대EP,089470
5165,신세계건설,034300
5170,중앙백신,072020
5175,국보디자인,066620
5180,에스엠코어,007820
5185,조광ILI,044060
5190,토비스,051360
5195,TS Nexgen,043220
5200,대유에이텍,002880
5205,태경비케이,014580
5210,젬백스링크,064800
5215,한국선재,025550
5220,엔에스엔,031860
5225,이테크건설,016250
5230,네오크레마,311390
5235,미코바이오메드,214610
5240,경남스틸,039240
5245,이엠넷,123570
5250,광전자,017900
5255,라온시큐어,042510
5260,감성코퍼레이션,036620
5265,제이씨현시스템,033320
5270,SBI핀테크솔루션즈,950110
5275,덕성,004830
5280,캠시스,050110
5285,동양이엔피,079960
5290,세이브존I&C,067830
5295,오텍,067170
5300,모바일어플라이언스,087260
5305,한창제지,009460
5310,SNT에너지,100840
5315,삼일씨엔에스,004440
5320,모베이스전자,012860
5325,바른손,018700
5330,보해양조,000890
5335,코리아나,027050
5340,이건산업,008250
5345,큐캐피탈,016600
5350,이노메트리,302430
5355,대림B&Co,005750
5360,엑시콘,092870
5365,엘컴텍,037950
5370,기신정기,092440
5375,조선선재,120030
5380,광명전기,017040
5385,에넥스,011090
5390,삼원강재,023000
5395,덕신하우징,090410
5400,파멥신,208340
5405,노루홀딩스,000320
5410,덕우전자,263600
5415,파나진,046210
5420,신원종합개발,017000
5425,고려신용정보,049720
5430,바이오톡스텍,086040
5435,에이테크솔루션,071670
5440,한미글로벌,053690
5445,계양전기,012200
5450,탑코미디어,134580
5455,STX,011810
5460,인바이오젠,101140
5465,비아트론,141000
5470,한국팩키지,037230
5475,유니온머티리얼,047400
5480,명문제약,017180
5485,에코플라스틱,038110
5490,케이피엠테크,042040
5495,제놀루션,225220
5500,에이치엘비제약,047920
5505,디스플레이텍,066670
5510,팬엔터테인먼트,068050
5515,미창석유,003650
5520,국동,005320
5525,대명소노시즌,007720
5530,하이로닉,149980
5535,파수,150900
5540,매커스,093520
5545,하이스틸,071090
5550,메카로,241770
5555,한진중공업홀딩스,003480
5560,SCI평가정보,036120
5565,두올,016740
5570,티비씨,033830
5575,상상인증권,001290
5580,데이타솔루션,263800
5585,진양산업,003780
5590,HRS,036640
5595,넥스턴,089140
5600,대성창투,027830
5605,콤텍시스템,031820
5610,삼천리자전거,024950
5615,디이엔티,079810
5620,메이슨캐피탈,021880
5625,마니커,027740
5630,케이엔더블유,105330
5635,에스엔유,080000
5640,팜젠사이언스,004720
5645,써니전자,004770
5650,BNGT,032790
5655,바이오솔루션,086820
5660,남광토건,001260
5665,서린바이오,038070
5670,이스트소프트,047560
5675,서원인텍,093920
5680,흥구석유,024060
5685,아진산업,013310
